package_name,is_obsolete
net.turnkeytrading.prometheus_mobile,1
com.handyman.smarthome,1
org.blheli.BLHeli_32,1
nl.rodger.app,1
com.satyam.mobile.roku.remotecontrol,1
com.osthoro.electricitywatchface,1
com.dinitech.nrgkick,1
com.conneqtech.sparta,1
com.osfunapps.remoteforindigital,1
reflex.smartcafe.basic.timer,1
com.polaroidtvirremote,1
com.stephenmilone.icongrid,1
com.findmy.devices.phone.watch.appela,1
com.app.walkhealth,1
com.iris.sensorybox.games.human,1
com.throne.project28.demo.nexus,1
moveo.GoTo.malta,1
com.swissre.srdrive,1
blackbox.com.magikk,1
com.scooter.CvmGuazzoni,1
com.wyzedoorbellguide769.app,1
com.fitindia.fitapp,1
com.inelsosolar,1
com.fracttalmobile.app,1
com.bullguard.mobile.mobilesecurity,1
com.genasys.gem.genericclient,1
com.elmeasure.elconfig,1
com.OctagonStudio.Wear4D,1
app.boomerang.nissansilvia,1
mx.vanmedin.liipoffline,1
dk.zispa.vibetasks,1
com.acvilas.eagle4g,1
com.orchid.securelock.android,1
com.myeglu.android.elcloud,1
com.honeywell.galaxyapp,1
th.in.sircom.insecospectreviewer,1
com.mobileiesapp,1
com.ir.irremote.irblaster.tvremote.universalremote,1
com.mylaps.eventapp.sporthivelive,1
de.sick.sds.ibman,1
com.codebrain.indoor_outdoor,1
com.FreeFurniture.FurnitureModMcpe.MapsAddon.Minecraft.ModFurniture,1
org.farmos.app,1
com.brighterenergy,1
com.tilon.elcloud,1
com.digme.app,1
com.weedle.universal_tv_box_remote,1
net.prezz.mpr,1
com.itimesmartwatchguide.malak,1
digifit.android.virtuagym.pro.theprojectphysique,1
com.appfour.wearmessages,1
com.qixiang.xrunning,1
com.cutcom.apparmor.golynx,1
org.altusmetrum.AltosDroid,1
com.ovivo.OvivoDegitalOPS,1
com.fitsypro.fiqsyservice,1
com.shreevillaapps.fivehdvdoscnmirrorig,1
com.busbynative,1
com.blackcurrantstudioz.NotificationHistoryLog,1
com.sigor.smart,1
com.chromagenandroid.smart,1
com.playfox.steem,1
cz.quiche.ihcmpresentation,1
com.mogu.router2,1
com.connectedcycle,1
com.teejoin.smarthome,1
com.sociometric.ledgement,1
com.possible.garagapp2,1
co.super8bit.climbz,1
com.archtron.hox9,1
com.henapp.throwback1023fm,1
com.lingdong.voyager,1
com.sqzsoft.speedalarm,1
com.specialized.ride,1
